Date,Close/Last,Volume,Open,High,Low
03/15/2018,14.8583,55254106,14.97,15.1508,14.72
03/14/2018,14.925,66655911,15.165,15.2108,14.7334
03/13/2018,14.9758,90767628,15.7758,15.8767,14.8213
03/12/2018,15.54,66164918,15.4583,15.6808,15.3617
03/09/2018,15.3108,73525553,14.7967,15.3108,14.7317
03/08/2018,14.4683,57041627,14.415,14.5183,14.2592
03/07/2018,14.2558,66690771,13.8408,14.2917,13.7683
03/06/2018,14.15,68398731,14.1817,14.3075,13.9
03/05/2018,13.9733,74279682,13.3575,14.0933,13.1967
03/02/2018,13.5483,96591159,12.7233,13.6117,12.565
03/01/2018,13.1858,125555810,13.8833,14.0683,12.8067
02/28/2018,13.8525,75631458,14.3725,14.5125,13.8383
02/27/2018,14.1367,86385359,14.6875,14.7658,14.1183
02/26/2018,14.6617,66771663,14.3175,14.6683,14.2862
02/23/2018,14.0958,71242588,13.605,14.105,13.4617
02/22/2018,13.3033,83126841,13.4942,13.6958,13.2012
02/21/2018,13.3008,87989483,13.6142,14.0175,13.2917
02/20/2018,13.4217,72722273,13.2017,13.77,13.1892
02/16/2018,13.355,85174102,13.4075,13.7892,13.2792
02/15/2018,13.5058,94964366,13.1667,13.5233,12.765
02/14/2018,12.835,83867086,11.9433,12.885,11.9308
02/13/2018,12.125,53826046,11.7692,12.2167,11.6973
02/12/2018,11.9792,87205787,11.7317,12.1992,11.4358
02/09/2018,11.3442,160007584,11.2667,11.5958,10.1
02/08/2018,10.8342,107515987,12.4942,12.5117,10.8333
02/07/2018,12.3667,87289235,12.755,13.1658,12.3667
02/06/2018,12.8758,119232828,11.4017,12.9167,11.2525
02/05/2018,11.9542,114031438,13.1458,13.8033,11.8842
02/02/2018,13.5142,90571596,14.2325,14.3187,13.4925
02/01/2018,14.3933,62856037,14.4358,14.85,14.24
01/31/2018,14.7625,54193186,14.8375,14.9215,14.5
01/30/2018,14.5825,66026570,14.5483,14.7791,14.3567
01/29/2018,14.965,65935442,15.0758,15.1783,14.8675
01/26/2018,15.1658,53129841,14.75,15.1658,14.6733
01/25/2018,14.5175,66448083,14.8392,14.85,14.3812
01/24/2018,14.5358,104272698,14.9175,15.0217,14.2877
01/23/2018,14.8367,64245770,14.6092,14.8725,14.5867
01/22/2018,14.47,51724041,13.9983,14.47,13.9625
01/19/2018,14.0317,42389885,14.0175,14.0917,13.8208
01/18/2018,13.8983,47046271,13.8242,13.9908,13.7258
01/17/2018,13.885,41019292,13.64,13.9542,13.4558
01/16/2018,13.4608,78129679,13.84,14.0558,13.34
01/12/2018,13.5658,44760282,13.2392,13.6175,13.2017
01/11/2018,13.2842,37323411,13.0892,13.2842,13.0279
01/10/2018,13.0233,47783263,12.9342,13.0283,12.7678
01/09/2018,13.1167,51963729,13.1867,13.2308,13
01/08/2018,13.1067,36052178,12.9608,13.1333,12.9483
01/05/2018,12.9625,41176792,12.7583,12.99,12.6925
01/04/2018,12.5825,34890014,12.6558,12.7008,12.5379
01/03/2018,12.5092,42276185,12.2025,12.555,12.2008
01/02/2018,12.1533,45712878,11.7417,12.1783,11.6575
12/29/2017,11.56,34182182,11.8267,11.8267,11.5517
12/28/2017,11.7825,23292057,11.855,11.8658,11.7481
12/27/2017,11.7508,22459809,11.7517,11.845,11.7167
12/26/2017,11.7508,24300118,11.7533,11.7933,11.6158
12/22/2017,11.9442,21236288,11.9333,11.9575,11.8433
12/21/2017,11.9842,33179305,12.0325,12.1425,11.9433
12/20/2017,11.99,35254670,12.155,12.16,11.8408
12/19/2017,12.04,49130240,12.1733,12.2125,11.9275
12/18/2017,12.2392,40474588,12.1675,12.2742,12.1167
12/15/2017,11.9325,55768414,11.6917,11.9842,11.6283
12/14/2017,11.5567,35367770,11.6408,11.7242,11.5125
12/13/2017,11.5733,41577281,11.6467,11.69,11.5317
12/12/2017,11.5158,36638919,11.5425,11.6183,11.4433
12/11/2017,11.5592,35609162,11.3175,11.5733,11.3125
12/08/2017,11.3,44080038,11.4,11.4817,11.25
12/07/2017,11.1525,37895067,11.05,11.25,11.0075
12/06/2017,11.0433,47101423,10.7783,11.0958,10.7383
12/05/2017,10.8992,57358187,10.8642,11.2742,10.7458
12/04/2017,10.8833,82253097,11.4933,11.5192,10.8492
12/01/2017,11.2725,85064242,11.2042,11.4358,10.7742
11/30/2017,11.425,59197416,11.2883,11.4866,11.2042
11/29/2017,11.1483,103906518,11.7233,11.7233,10.98
11/28/2017,11.7525,35035838,11.7458,11.7792,11.5592
11/27/2017,11.6667,33255889,11.6708,11.7517,11.59
11/24/2017,11.6858,19975844,11.6,11.695,11.5783
11/22/2017,11.5558,30001200,11.5508,11.5921,11.4858
11/21/2017,11.51,35217362,11.3142,11.5333,11.3025
11/20/2017,11.1583,24913510,11.2033,11.2417,11.1133
11/17/2017,11.1858,34376390,11.3242,11.3467,11.1558
11/16/2017,11.3125,40311832,11.0758,11.3925,11.0703
11/15/2017,10.9042,40093396,10.925,10.9958,10.73
11/14/2017,11.0667,45090570,11.0667,11.1033,10.9033
11/13/2017,11.1792,37428063,11.0283,11.2283,11.0192
11/10/2017,11.1458,32915941,11.0742,11.1717,11.0117
11/09/2017,11.1492,81480501,11.055,11.1667,10.8042
11/08/2017,11.3308,34132118,11.18,11.3378,11.1383
11/07/2017,11.1908,46577599,11.1475,11.2408,11.08
11/06/2017,11.1725,37969755,11.0408,11.19,11.0275
11/03/2017,11.06,43292009,10.8742,11.0723,10.7642
11/02/2017,10.76,45361098,10.7825,10.7975,10.5375
11/01/2017,10.815,41308757,10.965,10.98,10.6958
10/31/2017,10.8292,30024960,10.8117,10.8795,10.7258
10/30/2017,10.7158,48239983,10.6133,10.8397,10.59
10/27/2017,10.64,73819602,10.2617,10.6992,10.2358
10/26/2017,9.7958,35902226,9.8733,9.9393,9.7817
10/25/2017,9.8875,44497050,9.9417,10.0404,9.6642
10/24/2017,10.0092,29372904,10.0058,10.0642,9.8924
10/23/2017,9.9583,30518040,10.2117,10.2142,9.9108
10/20/2017,10.1475,33275749,10.195,10.2192,10.1172
10/19/2017,10.0742,40284484,10.0117,10.075,9.86
10/18/2017,10.1867,28904736,10.2542,10.2558,10.1442
10/17/2017,10.2258,30011940,10.1775,10.2292,10.13
10/16/2017,10.19,28440299,10.1617,10.195,10.0942
10/13/2017,10.0858,24237226,10.0892,10.12,10.0542
10/12/2017,9.9742,32723209,9.9858,10.09,9.9383
10/11/2017,10.0283,29828220,9.9292,10.0333,9.8878
10/10/2017,9.9417,35843642,10.015,10.0475,9.8092
10/09/2017,9.9208,34400246,9.9917,10.0217,9.8808
10/06/2017,9.9458,42963557,9.8167,9.95,9.8125
10/05/2017,9.91,47088127,9.745,9.926,9.7042
10/04/2017,9.6325,44906430,9.5517,9.6925,9.5258
10/03/2017,9.6075,31166124,9.5833,9.6401,9.5208
10/02/2017,9.5475,45960138,9.57,9.6642,9.42
09/29/2017,9.5208,44112450,9.38,9.5408,9.305
09/28/2017,9.3233,32066713,9.2717,9.35,9.2033
09/27/2017,9.3392,55505458,9.2375,9.4383,9.1667
09/26/2017,9.0925,47438983,9.1617,9.2117,8.9975
09/25/2017,9.0308,67631787,9.2092,9.2232,8.8875
09/22/2017,9.3233,31066416,9.2542,9.3608,9.23
09/21/2017,9.3467,42364793,9.5017,9.505,9.25
09/20/2017,9.53,53557869,9.605,9.6333,9.305
09/19/2017,9.61,28432703,9.6142,9.6548,9.5158
09/18/2017,9.5692,45625314,9.6342,9.7267,9.4792
09/15/2017,9.5925,39565096,9.5058,9.7092,9.4567
09/14/2017,9.5158,35975450,9.5725,9.6508,9.4917
09/13/2017,9.6792,25601014,9.5833,9.6817,9.545
09/12/2017,9.6392,36667059,9.65,9.6805,9.5058
09/11/2017,9.5583,42553589,9.4725,9.6192,9.4692
09/08/2017,9.2633,41210584,9.4617,9.4783,9.2292
09/07/2017,9.4975,36772983,9.4942,9.575,9.4
09/06/2017,9.4392,42559349,9.4341,9.5025,9.2375
09/05/2017,9.3583,64674482,9.5242,9.5896,9.1392
09/01/2017,9.6158,35484050,9.6958,9.7327,9.5417
08/31/2017,9.6225,52703889,9.4325,9.6567,9.4175
08/30/2017,9.3567,52814589,9.0592,9.4,9.0433
08/29/2017,9.0433,42143693,8.7008,9.0833,8.68
08/28/2017,8.9333,31582897,8.9333,8.9983,8.8508
08/25/2017,8.8558,46245630,9.0067,9.0825,8.8225
08/24/2017,8.9158,48463939,9.0567,9.0917,8.7583
08/23/2017,8.9908,41587145,8.9433,9.0533,8.9317
08/22/2017,9.0925,46836427,8.8333,9.1192,8.8292
08/21/2017,8.705,43126661,8.7358,8.7867,8.5333
08/18/2017,8.7208,64786838,8.765,8.9092,8.625
08/17/2017,8.7517,78980120,9.2117,9.2567,8.75
08/16/2017,9.325,48989612,9.3417,9.4542,9.2325
08/15/2017,9.2767,35953598,9.3117,9.3304,9.2008
08/14/2017,9.26,47504839,9.1208,9.3,9.1183
08/11/2017,8.9133,52593393,8.7567,8.9725,8.6949
08/10/2017,8.7142,81396285,9.1625,9.1792,8.6925
08/09/2017,9.3192,49438904,9.1267,9.3308,9.0617
08/08/2017,9.3558,51563001,9.3492,9.5833,9.2758
08/07/2017,9.3908,27291227,9.2817,9.4058,9.2417
08/04/2017,9.2275,35676230,9.2458,9.2975,9.1217
08/03/2017,9.1917,36213074,9.3233,9.3267,9.1342
08/02/2017,9.2883,55083262,9.395,9.4042,9.0367
08/01/2017,9.2208,30333672,9.2525,9.26,9.1375
07/31/2017,9.1608,44185338,9.3575,9.3933,9.0992
07/28/2017,9.2817,34941446,9.1475,9.3242,9.0892
07/27/2017,9.3117,94336850,9.6717,9.6958,8.9717
07/26/2017,9.4808,29972232,9.4567,9.4983,9.4167
07/25/2017,9.3967,47038915,9.3725,9.4592,9.3158
07/24/2017,9.46,44220906,9.3358,9.4842,9.3008
07/21/2017,9.3383,43331693,9.2367,9.3392,9.1942
07/20/2017,9.3525,53953306,9.3858,9.405,9.2242
07/19/2017,9.3175,51936909,9.2292,9.3542,9.2225
07/18/2017,9.15,41990153,8.9533,9.1592,8.875
07/17/2017,8.9717,49962080,8.9958,9.0733,8.9275
07/14/2017,8.9667,42274241,8.8642,8.9983,8.7942
07/13/2017,8.7608,45657198,8.7375,8.8224,8.6842
07/12/2017,8.7033,52520565,8.615,8.73,8.5683
07/11/2017,8.4042,54229390,8.2992,8.4354,8.2058
07/10/2017,8.3358,45943662,8.1958,8.3958,8.1302
07/07/2017,8.165,44769618,8.0058,8.2417,8
07/06/2017,7.9275,53011509,7.9542,8.0575,7.8358
07/05/2017,8.1425,56864615,7.9775,8.2075,7.9042
07/03/2017,7.9167,40841920,8.2833,8.3092,7.8967
06/30/2017,8.1383,49256300,8.2375,8.3008,8.0908
06/29/2017,8.1667,115426402,8.4992,8.505,7.9167
06/28/2017,8.605,60125808,8.345,8.6318,8.2033
06/27/2017,8.2583,71710901,8.6375,8.6658,8.2583
06/26/2017,8.7392,52725357,9.0025,9.0558,8.6775
06/23/2017,8.8567,34356626,8.7275,8.8917,8.6567
06/22/2017,8.7583,34080518,8.8075,8.855,8.6917
06/21/2017,8.7683,41650649,8.5733,8.7767,8.5558
06/20/2017,8.5208,42711389,8.6975,8.7283,8.5092
