2017-11, +1.87%
2017-12, +0.48%
2018-01, +8.65%
2018-02, -1.38%
2018-03, -3.99%
2018-04, +0.37%
2018-05, +5.48%
2018-06, +1.05%
2018-07, +2.72%
2018-08, +5.84%
2018-09, -0.35%
2018-10, -8.66%
2018-11, -0.26%
2018-12, -8.91%
2019-01, +9.11%
2019-02, +2.76%
2019-03, +3.96%
2019-04, +5.46%
2019-05, -8.40%
2019-06, +7.62%
2019-07, +2.32%
2019-08, -2.01%
2019-09, +0.76%
2019-10, +4.31%
2019-11, +3.96%
2019-12, +3.92%
2020-01, +2.96%
2020-02, -5.89%
2020-03, -7.66%
2020-04, +15.19%
2020-05, +6.17%
2020-06, +6.29%
2020-07, +7.37%
2020-08, +11.05%
2020-09, -5.72%
2020-10, -3.20%
2020-11, +11.00%
2020-12, +5.05%
2021-01, +0.29%
2021-02, -0.12%
2021-03, +1.41%
2021-04, +5.88%
2021-05, -1.26%
2021-06, +6.34%
2021-07, +2.78%
2021-08, +4.16%
2021-09, -5.73%
2021-10, +7.90%
2021-11, +1.80%
2021-12, +1.14%
2022-01, -8.52%
2022-02, -4.64%
2022-03, +4.22%
2022-04, -13.37%
2022-05, -1.65%
2022-06, -9.00%
2022-07, +12.55%
2022-08, -5.22%
2022-09, -10.60%
2022-10, +3.96%
2022-11, +5.48%
2022-12, -9.06%
2023-01, +10.62%
2023-02, -0.49%
2023-03, +9.46%
2023-04, +0.49%
2023-05, +7.61%
2023-06, +6.49%
2023-07, +3.81%
2023-08, -1.62%
2023-09, -5.07%
2023-10, -2.08%
2023-11, +10.67%
2023-12, +5.51%
2024-01, +1.85%
2024-02, +5.29%
2024-03, +1.17%
2024-04, -4.46%
2024-05, +6.28%
2024-06, +6.18%
2024-07, -1.63%
2024-08, +1.10%
2024-09, +2.48%
2024-10, -0.85%
2024-11, +5.23%
2024-12, +0.39%
2025-01, +2.22%
2025-02, -2.76%
2025-03, -7.69%
2025-04, +1.52%
2025-05, +9.04%
2025-06, +6.27%
2025-07, +2.38%
2025-08, +0.85%
2025-09, +5.40%
2025-10, +4.77%
2025-11, -1.64%
2025-12, -0.73%
2026-01, +1.20%
2026-02, -2.32%
